batch,time,p53,mdm2
batch 1,0.0,0.1,0.1
batch 1,0.10000000000000007,0.10088302315887637,0.10049753306543145
batch 1,0.20000000000000015,0.10171399559753613,0.10099011534783896
batch 1,0.3000000000000002,0.10249382041016544,0.10147779611078761
batch 1,0.4000000000000003,0.10322337738604363,0.10196062412763739
batch 1,0.5000000000000003,0.10390352484905116,0.1024386476864212
batch 1,0.6000000000000004,0.1045351013196228,0.10291191459467405
batch 1,0.7000000000000005,0.10511892702125528,0.10338047218421435
batch 1,0.8000000000000006,0.10565580525056792,0.10384436731587737
batch 1,0.9000000000000007,0.10614652362730212,0.10430364638420261
batch 1,1.0000000000000007,0.10659185523843505,0.10475835532207266
batch 1,1.0999999999999897,0.10699255968871603,0.10520853960530809
batch 1,1.1999999999999786,0.10734938406834142,0.10565424425721452
batch 1,1.2999999999999676,0.10766306384713054,0.10609551385308616
batch 1,1.3999999999999566,0.10793432370340142,0.10653239252466341
batch 1,1.4999999999999456,0.1081638782947516,0.10696492396454689
batch 1,1.5999999999999346,0.10835243297709067,0.10739315143056682
batch 1,1.6999999999999236,0.10850068447752939,0.10781711775010924
batch 1,1.7999999999999126,0.10860932152609094,0.10823686532439966
batch 1,1.8999999999999015,0.10867902545065156,0.10865243613274328
batch 1,1.9999999999998905,0.1087104707390332,0.10906387173672331
batch 1,2.0999999999998797,0.10870432557174806,0.10947121328435784
batch 1,2.1999999999998687,0.10866125232852387,0.10987450151421481
batch 1,2.2999999999998577,0.10858190807141373,0.11027377675948678
batch 1,2.3999999999998467,0.10846694500700726,0.11066907895202413
batch 1,2.4999999999998357,0.10831701093000944,0.11106044762632904
batch 1,2.5999999999998247,0.10813274965022583,0.11144792192350912
batch 1,2.6999999999998137,0.10791480140479755,0.11183154059519211
batch 1,2.7999999999998026,0.10766380325735052,0.11221134200740146
batch 1,2.8999999999997916,0.1073803894855644,0.11258736414439337
batch 1,2.9999999999997806,0.10706519195852404,0.1129596446124556
batch 1,3.0999999999997696,0.10671864260375638,0.11333482103493882
batch 1,3.1999999999997586,0.10634038701946659,0.11371905784481309
batch 1,3.2999999999997476,0.10592994511185834,0.11411149469042972
batch 1,3.3999999999997366,0.1054869275326923,0.11451129308590134
batch 1,3.4999999999997256,0.10501103377386484,0.11491763585952408
