batch,time,ms28,mtetr,s28,tetr
batch 01,0.0,0.0,0.0,0.0,0.0
batch 01,0.25,0.513763850862045,0.0026548959140253,5.56180052473488,0.0068156742710283
batch 01,0.5,0.623755441547977,0.0587191110806751,13.6915729595097,0.340185304507399
batch 01,0.75,0.547883133225726,0.190112281057923,20.2483546638645,2.09198226010208
batch 01,1.0,0.222522691185496,0.280793167803353,21.3196274331515,5.31335187100199
batch 01,1.25,0.0661650810022483,0.263282656437296,18.0129409858751,8.23883670282282
batch 01,1.5,0.0220860178383393,0.186202266309933,14.1330512932248,9.57927946116594
batch 01,1.75,0.0114733154743322,0.10926038571034,10.8568920349047,9.35848683939409
batch 01,2.0,0.0111531731415816,0.0572317936759605,8.3356552249215,8.22073801879183
batch 01,2.25,0.0166498722625831,0.0285336185876922,6.50201520887389,6.77764110469841
batch 01,2.5,0.0301493205411419,0.0145675938578431,5.30357601819201,5.3890743313188
batch 01,2.75,0.0584463997454435,0.0086411667124819,4.78650803167089,4.2060587235903
batch 01,3.0,0.111834296302111,0.0075273378977397,5.13603574800861,3.26799415847331
batch 01,3.25,0.195141806287375,0.0119016482562389,6.61093334579371,2.58358904307652
batch 01,3.5,0.285386311332775,0.0283281637855738,9.22334178176989,2.20936465156268
batch 01,3.75,0.322070683367302,0.0653846838273404,12.2633364853776,2.31721098963939
batch 01,4.0,0.259887032102878,0.111210928339487,14.2569525101414,3.05236045185905
batch 01,4.25,0.155846113039282,0.132188399622385,14.1579994033721,4.14511134849159
batch 01,4.5,0.0869894004935756,0.117128616079652,12.5829527158328,4.99614231008464
batch 01,4.75,0.0580820913031652,0.084994115220075,10.6323185650385,5.25020448558238
batch 01,5.0,0.0530824463522165,0.055436148722492,8.92957836761756,4.96552938592209
batch 01,5.25,0.064323495233805,0.0357606436628601,7.73906887989329,4.38459886013404
batch 01,5.5,0.0918466754644437,0.0256069066169474,7.20845581480985,3.73000888112965
batch 01,5.75,0.137424491701324,0.0233474939313803,7.46952106489315,3.1475759295833
batch 01,6.0,0.194970358449311,0.0293432542734734,8.57732527243606,2.7347365876566
batch 01,6.25,0.240973439324108,0.0459553193643055,10.3058746942525,2.58761091295457
batch 01,6.5,0.2432475707589,0.0718177577575709,11.9948808042138,2.7988200745326
batch 01,6.75,0.19690015114731,0.0947075407332593,12.8113249310133,3.34188600111116
batch 01,7.0,0.138061383641516,0.10016073153338,12.4468282012707,3.97332305294357
batch 01,7.25,0.0979249903991268,0.0875139771497998,11.320176872383,4.38435923178559
batch 01,7.5,0.080872763926662,0.0673877506084116,10.0174803991258,4.4343010342982
batch 01,7.75,0.0820258047680564,0.0494493812878001,8.93725802516171,4.18120178005544
batch 01,8.0,0.0983303166417786,0.0377808971347623,8.30554187281383,3.76985109558195
batch 01,8.25,0.128362642452891,0.03303693696938,8.25613070803854,3.33933430903281
batch 01,8.5,0.167385095614126,0.0353446755249976,8.83436667036679,2.99689619986121
batch 01,8.75,0.202108910334242,0.0452317928822491,9.9117299392174,2.82849900935503
batch 01,9.0,0.213498759515895,0.061541294375523,11.1049554823285,2.89929897271241
batch 01,9.25,0.192958637940244,0.0780789421769279,11.8819937816093,3.20736028023283
batch 01,9.5,0.154631925150603,0.0858970495111144,11.9083448581402,3.62998329065908
batch 01,9.75,0.120572192179827,0.0814388273890438,11.2847838075331,3.97147048068752
batch 01,10.0,0.101440370439758,0.0690207635542922,10.3720785061656,4.09417683513936
batch 01,10.25,0.0977560992742609,0.0554166634828739,9.51526818404098,3.98591674502463
batch 01,10.5,0.107484073446372,0.0451524109026986,8.94866489559852,3.72423628011442
batch 01,10.75,0.128391640024506,0.0400553542525005,8.80902420357106,3.41275886185476
batch 01,11.0,0.156129223723966,0.0406783015499986,9.14020705603881,3.14493421749876
batch 01,11.25,0.181654220768803,0.0471119589835782,9.85506312409185,2.99565286316502
batch 01,11.5,0.192863157502492,0.0581825468153332,10.7004637679093,3.01552238807079
batch 01,11.75,0.183050646633532,0.0699657849040629,11.3217786324017,3.20651280154928
batch 01,12.0,0.158380296476532,0.0768139660318568,11.4577333043196,3.49517257429434
batch 01,12.25,0.132570680087211,0.0755624818707858,11.1053977594277,3.75476110337932
batch 01,12.5,0.115480446298324,0.0678635281885187,10.4742915412963,3.87892899833731
batch 01,12.75,0.110090561110044,0.0580014692081535,9.8227770638362,3.83657729125393
batch 01,13.0,0.115795103085351,0.0497232063668267,9.35547698271374,3.66684919063716
batch 01,13.25,0.130596811656708,0.0450937628635669,9.19913266975587,3.44212064131339
batch 01,13.5,0.150708598378175,0.0449244573817101,9.39630961695629,3.23704620923819
batch 01,13.75,0.169529718819051,0.0492467998571358,9.88595775118787,3.11378497382988
batch 01,14.0,0.178925232710635,0.0570149801651708,10.4916782923357,3.11260979817481
batch 01,14.25,0.174085153654218,0.0655001170972404,10.968580091842,3.2365118049167
batch 01,14.5,0.157931947832994,0.0709610727434251,11.1228579566757,3.43766460127354
batch 01,14.75,0.139007765804959,0.0709892995297187,10.920708594495,3.63099662398037
batch 01,15.0,0.124991669570422,0.0661411816227161,10.4839050543983,3.7381983594126
batch 01,15.25,0.119427722875715,0.0590843919875294,9.99706876172812,3.72676690854023
batch 01,15.5,0.122642988418761,0.0526529950838243,9.62552914550241,3.61528146227669
batch 01,15.75,0.133150608666256,0.0487355623726687,9.47891616366943,3.45320394589683
batch 01,16.0,0.147841852205315,0.0482095637944789,9.59695656305185,3.2978148799621
batch 01,16.25,0.161786385974202,0.0511381068573683,9.93737560530932,3.19900972975388
batch 01,16.5,0.169313923272406,0.0566678873113895,10.3746866276256,3.18890431787864
batch 01,16.75,0.166987597488928,0.0628335564967573,10.7360121735055,3.27094777705998
batch 01,17.0,0.156250801229915,0.0670655046133818,10.8787402151616,3.41284641105744
batch 01,17.25,0.142526012485295,0.0675883987085791,10.7630523961268,3.55603791161492
batch 01,17.5,0.131479352992821,0.0645028406828218,10.4601153554871,3.64343132950103
batch 01,17.75,0.126401827216039,0.059475926422835,10.0996395425865,3.64646141977219
batch 01,18.0,0.128077824019857,0.0545757025916034,9.8099755123657,3.57285679948882
batch 01,18.25,0.135510531234718,0.0513810083829518,9.68187787472426,3.45608944566222
batch 01,18.5,0.146260223049047,0.0507207460141061,9.75105538475332,3.33913012335326
batch 01,18.75,0.15662646861822,0.0526978359166562,9.98906225310611,3.26114052891404
batch 01,19.0,0.162560137344443,0.056655243060846,10.3060895742158,3.24763825030298
batch 01,19.25,0.16157179346549,0.0611610185748723,10.5784678390709,3.30229846800242
batch 01,19.5,0.15436855224044,0.0644063114713453,10.7010562749259,3.40303581405321
batch 01,19.75,0.144456676742038,0.0650861759405538,10.6365163057808,3.50889543222085
batch 01,20.0,0.135934652675905,0.0631156200558607,10.426334513249,3.57826231529373
batch 01,20.25,0.131573871549641,0.0595430707911131,10.1610020300784,3.58762698123759
batch 01,20.5,0.1323106755131,0.0558531367447567,9.93790175634665,3.53908626814439
batch 01,20.75,0.137533055734833,0.0533049573467042,9.83002785671083,3.45513633658458
batch 01,21.0,0.14538997162613,0.0526261959310745,9.86852094510463,3.36754785611332
batch 01,21.25,0.153110080461417,0.0539464007753145,10.0349902059529,3.3065753717818
batch 01,21.5,0.157754530556604,0.0567805814704203,10.2652045295556,3.29238996038691
batch 01,21.75,0.15749048438487,0.0600834440117625,10.4700029455944,3.32870396486334
batch 01,22.0,0.152637552879821,0.0625607623596592,10.5715797432268,3.40040272237497
batch 01,22.25,0.145495133040409,0.0632485856018559,10.537658608757,3.47857772410547
batch 01,22.5,0.139005086265985,0.0619946541720069,10.392048009334,3.53283109086663
batch 01,22.75,0.135389461910496,0.0594610101352967,10.1976372862506,3.54440898584012
batch 01,23.0,0.135569903805723,0.0567045872262498,10.027252085755,3.51259879209157
batch 01,23.25,0.139208172619045,0.0547018747705519,9.9384469084741,3.45241475695582
batch 01,23.5,0.144936338383445,0.0540636982275025,9.95773347788539,3.38710255652522
batch 01,23.75,0.150688835410777,0.054930702956297,10.0738469334181,3.33976279411428
batch 01,24.0,0.154309646178824,0.0569568827636494,10.2410310435142,3.32625234773019
batch 01,24.25,0.15442989715023,0.0593809551757141,10.3947276406474,3.35015658346446
batch 01,24.5,0.151159945813209,0.0612671008814459,10.4771685168101,3.40119398989924
batch 01,24.75,0.146022144109099,0.0618988535583879,10.4615137664747,3.45885721172844
batch 03,0.0,0.0,1.0,0.0,0.0
batch 03,0.25,0.0478197659486606,0.286412524931173,1.30060514966187,10.27670539748
batch 03,0.5,0.0155435476759968,0.0616280448631269,1.4113376763459,9.9163983581941
batch 03,0.75,0.0119702553304604,0.0133406290627552,1.27561646839426,7.91337153375469
batch 03,1.0,0.0208621769905414,0.0029553254807093,1.24913900224312,6.03866263493753
batch 03,1.25,0.0448212624646113,0.0007692847263969,1.53559713736576,4.55277433069922
batch 03,1.5,0.0952823348055745,0.0006078851060235,2.42536503414195,3.42324769741983
batch 03,1.75,0.184338376888173,0.0024915556802846,4.33251215000638,2.58569519183234
batch 03,2.0,0.300449166617683,0.013045751799298,7.53762574502982,2.03312654527797
batch 03,2.25,0.379992143968273,0.0490589343728894,11.6003936832916,1.93626189948279
batch 03,2.5,0.33514637052295,0.111503872526279,14.9359859604646,2.62525114708636
batch 03,2.75,0.194288555571363,0.155172652310642,15.6283371604982,4.01523258822459
batch 03,3.0,0.0924291686897673,0.147603995806167,13.9806806990067,5.32927185486107
batch 03,3.25,0.049978243310008,0.108474771689458,11.61409066499,5.91564279738975
batch 03,3.5,0.0385800655131504,0.0683390150374658,9.45071007870144,5.73480737004616
batch 03,3.75,0.0435336586200844,0.0405000916520505,7.80977469513121,5.08906825041043
batch 03,4.0,0.0627986420399776,0.0250258993502665,6.81400853814323,4.28743378836531
batch 03,4.25,0.10042820384279,0.0185837533216299,6.58625401613651,3.52714242711445
